Age,Education Level,Job Title,Years of Experience,Salary
33,Bachelor's,Manager,9,91536
41,Bachelor's,Data Analyst,5,80895
26,High School,Data Analyst,0,44799
59,High School,Software Engineer,22,68548
52,PhD,Manager,18,121168
36,PhD,Software Engineer,9,129678
22,PhD,Sales Representative,4,53645
52,Bachelor's,Sales Representative,18,59627
44,PhD,Data Analyst,15,117470
22,PhD,Software Engineer,2,94213
34,Master's,Manager,4,117762
54,Master's,Sales Representative,20,59090
31,Master's,Manager,7,92885
27,Bachelor's,Software Engineer,5,84018
47,Bachelor's,Data Analyst,16,58741
41,PhD,Manager,13,116573
24,Master's,Data Analyst,2,75016
58,Bachelor's,Sales Representative,23,56989
22,High School,Manager,1,64874
50,PhD,Sales Representative,22,68349
49,Bachelor's,Sales Representative,15,49728
23,Master's,Sales Representative,2,55468
22,PhD,Manager,4,116083
52,Master's,Sales Representative,17,65492
46,Bachelor's,Sales Representative,15,52281
22,High School,Manager,0,58716
24,Master's,Sales Representative,4,53381
28,Master's,Data Analyst,2,86217
57,Master's,Sales Representative,24,62654
48,Bachelor's,Data Analyst,18,68662
27,High School,Software Engineer,0,53477
41,Bachelor's,Manager,14,77576
53,High School,Software Engineer,21,50288
56,PhD,Sales Representative,21,68845
24,PhD,Data Analyst,3,111860
42,PhD,Data Analyst,15,106026
22,PhD,Manager,0,104069
26,Master's,Software Engineer,6,107393
57,High School,Software Engineer,21,54562
54,Bachelor's,Software Engineer,22,91622
58,High School,Software Engineer,22,55692
37,Bachelor's,Software Engineer,8,66782
22,Master's,Software Engineer,0,86553
43,PhD,Software Engineer,14,133831
23,Bachelor's,Manager,0,81218
30,Bachelor's,Data Analyst,8,77501
44,Master's,Manager,14,122667
45,Master's,Software Engineer,16,100919
39,PhD,Data Analyst,8,110274
33,High School,Software Engineer,6,61771
42,Bachelor's,Sales Representative,11,44942
54,High School,Software Engineer,17,54737
53,PhD,Data Analyst,18,102775
60,PhD,Sales Representative,23,68486
51,PhD,Software Engineer,18,124935
27,Bachelor's,Data Analyst,4,80183
47,Bachelor's,Sales Representative,13,43901
28,Bachelor's,Manager,6,85157
57,Master's,Sales Representative,20,63039
52,PhD,Data Analyst,20,90529
28,High School,Manager,5,65805
59,Bachelor's,Manager,26,97274
36,PhD,Sales Representative,11,71672
52,Bachelor's,Sales Representative,15,51431
42,Bachelor's,Manager,14,85036
49,PhD,Manager,17,124618
25,Master's,Sales Representative,5,54418
51,PhD,Data Analyst,20,111108
50,Master's,Data Analyst,15,81082
54,PhD,Data Analyst,23,109757
32,Master's,Sales Representative,4,47603
49,High School,Manager,14,76609
50,High School,Sales Representative,16,38704
40,Master's,Manager,11,110351
22,PhD,Data Analyst,0,100745
32,Master's,Data Analyst,9,78324
45,High School,Manager,12,58861
37,PhD,Sales Representative,8,56585
45,Master's,Data Analyst,16,109335
36,Bachelor's,Software Engineer,10,69880
48,Master's,Sales Representative,14,64616
37,PhD,Manager,9,123129
48,High School,Data Analyst,15,51861
58,Bachelor's,Software Engineer,19,86930
47,PhD,Software Engineer,16,100892
58,Master's,Software Engineer,24,99560
33,PhD,Software Engineer,7,125191
24,PhD,Sales Representative,0,52148
39,Bachelor's,Manager,7,75543
33,PhD,Manager,1,105207
41,PhD,Data Analyst,9,112566
49,Master's,Sales Representative,16,60548
34,Master's,Sales Representative,8,49698
27,Master's,Sales Representative,7,52096
28,High School,Data Analyst,4,52132
46,High School,Software Engineer,10,54892
60,Master's,Software Engineer,25,111486
27,High School,Software Engineer,4,51595
35,Bachelor's,Manager,5,84677
24,PhD,Manager,0,127436
59,Bachelor's,Sales Representative,23,55035
38,High School,Sales Representative,12,43436
30,Master's,Data Analyst,4,104389
25,PhD,Manager,2,118031
22,High School,Data Analyst,1,52744
43,High School,Data Analyst,14,44642
24,Bachelor's,Data Analyst,1,80773
56,Master's,Software Engineer,21,114922
26,Bachelor's,Manager,4,84777
51,High School,Data Analyst,19,41204
53,Master's,Manager,18,104670
21,PhD,Data Analyst,0,96581
27,High School,Manager,4,67684
22,PhD,Manager,2,125948
24,Master's,Data Analyst,1,79070
33,High School,Manager,9,61177
56,Bachelor's,Data Analyst,23,84144
49,PhD,Data Analyst,14,90881
57,Master's,Software Engineer,19,93581
43,PhD,Data Analyst,13,82910
25,High School,Sales Representative,0,39526
48,High School,Sales Representative,14,41127
54,PhD,Sales Representative,21,58486
25,Master's,Sales Representative,0,53777
21,Master's,Software Engineer,1,112094
21,Master's,Sales Representative,3,59779
23,PhD,Data Analyst,5,96886
45,Bachelor's,Manager,14,87542
41,High School,Data Analyst,11,52359
48,PhD,Data Analyst,14,90043
48,Master's,Sales Representative,16,55732
31,High School,Manager,6,63927
23,PhD,Data Analyst,0,90295
22,Bachelor's,Software Engineer,0,56406
21,Bachelor's,Data Analyst,0,50833
57,Master's,Software Engineer,21,89589
43,High School,Data Analyst,15,50877
35,High School,Sales Representative,9,34534
25,Master's,Data Analyst,2,93289
59,Bachelor's,Data Analyst,23,90185
55,Bachelor's,Software Engineer,22,87651
54,Master's,Manager,18,105054
33,PhD,Manager,11,110967
21,PhD,Manager,3,126809
39,Bachelor's,Sales Representative,12,49073
35,PhD,Data Analyst,9,118248
32,PhD,Software Engineer,8,102147
36,Bachelor's,Software Engineer,6,81637
36,Master's,Manager,12,97125
31,High School,Data Analyst,7,45622
32,PhD,Manager,6,110856
46,PhD,Software Engineer,15,118641
48,Master's,Sales Representative,16,58874
22,Bachelor's,Manager,1,72156
28,PhD,Sales Representative,4,64421
43,High School,Data Analyst,13,63914
45,PhD,Software Engineer,12,113541
27,PhD,Software Engineer,3,108637
35,Bachelor's,Sales Representative,8,46296
51,Master's,Sales Representative,16,51584
52,Master's,Manager,18,105447
22,PhD,Software Engineer,0,120153
53,Bachelor's,Manager,22,95583
25,High School,Sales Representative,2,37435
55,PhD,Data Analyst,17,105440
35,PhD,Data Analyst,8,92202
47,High School,Data Analyst,18,49983
35,Master's,Manager,8,102158
60,PhD,Software Engineer,21,111334
22,Bachelor's,Data Analyst,0,78023
60,Master's,Software Engineer,21,116555
21,High School,Sales Representative,3,33395
47,PhD,Manager,16,117760
29,Bachelor's,Manager,3,88867
26,PhD,Software Engineer,4,93519
31,Bachelor's,Software Engineer,7,75719
53,Bachelor's,Sales Representative,17,57988
44,High School,Data Analyst,10,48084
34,High School,Software Engineer,8,41832
26,PhD,Sales Representative,6,59560
58,Bachelor's,Manager,26,86792
23,High School,Sales Representative,1,32390
32,High School,Manager,11,67898
28,Master's,Sales Representative,3,45603
49,PhD,Sales Representative,20,58389
46,Master's,Software Engineer,12,105812
52,PhD,Sales Representative,19,63087
32,Master's,Data Analyst,8,98394
48,Bachelor's,Data Analyst,17,75038
36,Master's,Data Analyst,11,90370
49,High School,Data Analyst,16,52189
59,Bachelor's,Data Analyst,24,76196
21,PhD,Sales Representative,0,59141
60,PhD,Sales Representative,23,64800
22,Master's,Sales Representative,1,51401
47,High School,Data Analyst,16,42458
31,High School,Data Analyst,5,47875
30,Master's,Sales Representative,3,57770
24,PhD,Data Analyst,0,82621
35,Master's,Sales Representative,6,55975
34,Bachelor's,Manager,10,77916
35,High School,Sales Representative,9,40113
42,Master's,Manager,15,104671
52,High School,Software Engineer,17,50313
28,Bachelor's,Data Analyst,1,69613
33,High School,Software Engineer,7,61172
53,High School,Manager,19,78422
40,PhD,Manager,10,109058
46,PhD,Data Analyst,14,94287
52,Bachelor's,Software Engineer,20,104773
36,PhD,Software Engineer,9,115185
25,PhD,Manager,0,119914
43,Bachelor's,Software Engineer,14,89933
21,Master's,Software Engineer,0,91159
56,PhD,Software Engineer,23,111990
26,PhD,Manager,5,125957
48,Master's,Software Engineer,16,103238
58,Bachelor's,Software Engineer,24,99514
30,Bachelor's,Sales Representative,8,37573
37,PhD,Software Engineer,12,100203
46,PhD,Manager,15,120855
51,Master's,Data Analyst,16,79086
35,High School,Data Analyst,7,53629
34,PhD,Software Engineer,12,101645
42,Master's,Software Engineer,9,98741
31,Bachelor's,Data Analyst,3,75775
39,PhD,Data Analyst,10,108149
37,High School,Data Analyst,11,41075
50,High School,Sales Representative,19,40166
24,PhD,Sales Representative,0,64517
29,Master's,Software Engineer,0,97051
24,Bachelor's,Sales Representative,0,37956
22,Master's,Sales Representative,2,64856
30,PhD,Sales Representative,4,61631
38,Bachelor's,Manager,9,77595
33,High School,Software Engineer,10,52963
25,Bachelor's,Manager,4,74863
49,PhD,Sales Representative,19,71655
56,High School,Data Analyst,18,46497
30,Master's,Sales Representative,6,50936
53,PhD,Sales Representative,18,62925
55,High School,Data Analyst,17,45588
40,PhD,Software Engineer,14,110739
35,PhD,Software Engineer,9,134668
21,High School,Software Engineer,2,51445
55,PhD,Software Engineer,20,119319
45,High School,Data Analyst,15,60866
45,PhD,Manager,13,111335
27,High School,Manager,4,64154
57,Bachelor's,Sales Representative,18,43078
31,High School,Data Analyst,11,44698
42,High School,Data Analyst,15,49108
23,Bachelor's,Data Analyst,0,83155
34,Master's,Data Analyst,8,75654
27,Master's,Manager,7,105356
35,High School,Sales Representative,9,47501
35,Master's,Software Engineer,7,104493
58,Master's,Manager,23,104211
37,High School,Data Analyst,12,37692
30,Master's,Data Analyst,9,92888
26,Bachelor's,Manager,4,70009
36,Master's,Software Engineer,13,106576
60,PhD,Data Analyst,23,109822
59,High School,Data Analyst,19,46455
59,Bachelor's,Software Engineer,25,74626
23,Master's,Sales Representative,1,53027
49,High School,Manager,13,74209
33,PhD,Sales Representative,5,56819
22,High School,Manager,2,54965
44,Bachelor's,Manager,16,79690
47,Bachelor's,Data Analyst,17,72007
26,High School,Sales Representative,0,36232
45,High School,Sales Representative,17,44877
31,Bachelor's,Software Engineer,4,74196
38,Master's,Data Analyst,9,86551
29,Bachelor's,Data Analyst,4,62576
34,High School,Data Analyst,5,57033
43,PhD,Manager,12,116144
23,Master's,Software Engineer,1,108865
54,Bachelor's,Sales Representative,19,50656
57,Master's,Manager,24,125664
55,Master's,Sales Representative,23,66751
23,PhD,Sales Representative,3,64872
26,Bachelor's,Manager,4,80598
60,PhD,Sales Representative,22,72326
46,Bachelor's,Software Engineer,15,70395
28,PhD,Data Analyst,7,110373
30,PhD,Manager,7,129272
54,High School,Manager,19,53962
40,Master's,Data Analyst,10,81596
40,Master's,Sales Representative,9,57846
27,High School,Sales Representative,3,44226
46,Master's,Manager,14,113450
54,PhD,Manager,17,121307
38,PhD,Manager,10,111078
52,Bachelor's,Data Analyst,19,67350
49,Master's,Data Analyst,15,78425
35,PhD,Software Engineer,8,91637
50,Master's,Software Engineer,21,117838
22,PhD,Software Engineer,2,99552
57,Master's,Data Analyst,20,84828
22,PhD,Sales Representative,1,53581
52,Master's,Data Analyst,21,83591
54,High School,Software Engineer,20,66611
31,Master's,Data Analyst,7,98568
34,Bachelor's,Software Engineer,9,89532
54,High School,Manager,23,64942
49,High School,Sales Representative,16,41781
41,Master's,Manager,12,116138
34,Bachelor's,Sales Representative,5,40681
28,PhD,Software Engineer,7,114900
27,High School,Software Engineer,1,45227
55,Bachelor's,Data Analyst,19,71645
32,Bachelor's,Data Analyst,4,52797
46,High School,Software Engineer,17,51978
45,Master's,Data Analyst,14,107922
32,Bachelor's,Manager,8,87257
26,Master's,Manager,3,100804
34,Master's,Data Analyst,8,86140
57,Bachelor's,Manager,21,96631
47,PhD,Data Analyst,19,108791
37,Bachelor's,Software Engineer,10,80655
43,Master's,Software Engineer,11,101114
50,High School,Sales Representative,19,41785
51,PhD,Data Analyst,20,102763
53,High School,Manager,18,60866
46,PhD,Manager,19,126911
55,Master's,Manager,21,100126
42,Bachelor's,Sales Representative,16,47086
24,High School,Software Engineer,0,60147
35,PhD,Manager,13,123037
28,High School,Software Engineer,3,45216
25,High School,Manager,2,74469
52,Bachelor's,Data Analyst,21,72246
39,Bachelor's,Manager,12,74875
57,PhD,Manager,22,118763
32,PhD,Data Analyst,4,99155
30,High School,Sales Representative,5,40159
45,High School,Data Analyst,13,43826
51,Bachelor's,Data Analyst,17,92417
49,High School,Data Analyst,19,51188
33,PhD,Manager,9,131457
43,High School,Sales Representative,14,43843
40,Master's,Manager,12,108334
55,PhD,Data Analyst,20,86147
53,Bachelor's,Software Engineer,20,78852
36,Bachelor's,Data Analyst,5,65087
56,PhD,Software Engineer,20,138545
43,PhD,Software Engineer,13,110298
41,PhD,Software Engineer,10,105104
42,Master's,Manager,11,116286
43,PhD,Sales Representative,11,65673
28,Bachelor's,Sales Representative,7,51137
58,Bachelor's,Data Analyst,18,65287
21,Bachelor's,Data Analyst,2,61569
29,High School,Software Engineer,3,59206
47,Bachelor's,Data Analyst,15,68840
22,High School,Software Engineer,0,64924
46,Bachelor's,Software Engineer,14,68814
22,PhD,Data Analyst,0,94230
38,Master's,Software Engineer,11,115926
55,Master's,Manager,24,107936
35,High School,Software Engineer,10,62188
56,Bachelor's,Manager,22,95224
51,Master's,Sales Representative,18,56557
23,Bachelor's,Software Engineer,2,73749
29,PhD,Data Analyst,9,93618
34,PhD,Data Analyst,10,103011
32,High School,Data Analyst,9,54273
50,PhD,Software Engineer,17,120710
55,Bachelor's,Manager,20,83537
58,PhD,Manager,18,133363
48,PhD,Software Engineer,15,113559
23,Bachelor's,Manager,1,83303
25,Master's,Manager,0,118775
56,PhD,Sales Representative,23,79847
26,Master's,Data Analyst,0,87630
55,High School,Sales Representative,23,52602
28,Master's,Sales Representative,5,56525
30,High School,Manager,12,64704
31,Master's,Data Analyst,5,76042
27,PhD,Data Analyst,5,86885
54,PhD,Manager,22,137254
28,High School,Manager,6,50691
52,Bachelor's,Sales Representative,18,40588
28,High School,Data Analyst,3,42058
43,PhD,Data Analyst,14,86335
33,PhD,Manager,9,118956
37,High School,Sales Representative,7,40563
37,High School,Data Analyst,8,50745
38,PhD,Software Engineer,10,118557
45,Master's,Software Engineer,18,97672
25,Master's,Data Analyst,1,73747
42,Bachelor's,Software Engineer,14,72818
38,PhD,Sales Representative,10,71079
52,PhD,Manager,18,135850
28,PhD,Sales Representative,0,54936
45,PhD,Manager,12,128343
25,High School,Manager,5,63116
42,Bachelor's,Sales Representative,11,52271
31,Master's,Data Analyst,6,83724
35,PhD,Data Analyst,8,109750
26,High School,Software Engineer,4,42526
39,PhD,Software Engineer,12,109014
26,PhD,Software Engineer,3,126548
51,Master's,Sales Representative,16,58332
31,Master's,Data Analyst,8,82371
48,High School,Software Engineer,16,62676
60,Master's,Sales Representative,22,62390
22,High School,Software Engineer,0,52160
51,Master's,Software Engineer,15,91334
54,High School,Manager,19,63131
32,PhD,Software Engineer,7,94529
47,High School,Data Analyst,17,46508
39,PhD,Data Analyst,10,114118
23,PhD,Manager,0,104553
43,Master's,Software Engineer,15,109755
47,Master's,Software Engineer,17,90249
32,PhD,Manager,7,115534
42,High School,Manager,16,65669
45,High School,Sales Representative,11,50480
51,Master's,Sales Representative,12,51805
47,Master's,Data Analyst,18,84583
48,Bachelor's,Manager,14,80704
33,High School,Manager,7,59676
35,Bachelor's,Sales Representative,8,51458
21,Bachelor's,Software Engineer,0,72418
41,Bachelor's,Software Engineer,11,84587
45,Master's,Sales Representative,13,55069
60,PhD,Sales Representative,27,80593
21,Bachelor's,Sales Representative,0,46428
25,Bachelor's,Manager,3,83352
33,High School,Software Engineer,7,59135
31,Bachelor's,Manager,7,89977
50,PhD,Sales Representative,17,74250
36,High School,Data Analyst,12,53878
53,PhD,Manager,19,122775
23,PhD,Software Engineer,0,127822
56,Bachelor's,Sales Representative,18,46477
56,High School,Manager,20,71968
26,Bachelor's,Data Analyst,4,67097
48,Bachelor's,Data Analyst,19,82787
50,Bachelor's,Data Analyst,19,85013
54,PhD,Data Analyst,18,95959
58,High School,Sales Representative,24,47134
26,High School,Software Engineer,3,53174
50,Master's,Data Analyst,17,93561
43,Master's,Manager,11,107676
23,Master's,Software Engineer,2,110457
51,Bachelor's,Sales Representative,19,47156
21,Bachelor's,Sales Representative,1,40987
24,Bachelor's,Software Engineer,3,77369
21,Bachelor's,Software Engineer,0,90508
54,Bachelor's,Software Engineer,21,76967
26,Bachelor's,Sales Representative,3,45828
56,Bachelor's,Manager,25,92276
27,High School,Manager,5,63522
26,PhD,Manager,3,113618
59,PhD,Data Analyst,18,109832
57,Master's,Manager,24,133776
27,PhD,Sales Representative,5,67924
42,PhD,Data Analyst,13,103626
56,PhD,Software Engineer,19,105953
32,PhD,Software Engineer,6,130264
53,High School,Sales Representative,19,39646
59,High School,Manager,25,76187
35,Master's,Software Engineer,10,87025
49,High School,Data Analyst,17,39242
21,PhD,Data Analyst,0,103344
31,PhD,Data Analyst,10,110074
50,Bachelor's,Data Analyst,17,84962
32,Master's,Software Engineer,4,108856
48,Bachelor's,Data Analyst,18,90056
47,High School,Software Engineer,15,50363
31,Master's,Sales Representative,7,48177
42,PhD,Manager,12,137070
34,Bachelor's,Manager,7,78097
37,Master's,Sales Representative,11,49693
32,PhD,Software Engineer,8,104251
32,PhD,Manager,3,117304
40,Bachelor's,Data Analyst,12,73638
45,High School,Sales Representative,15,34827
60,Master's,Data Analyst,21,92343
22,PhD,Data Analyst,1,83890
34,High School,Software Engineer,11,67105
29,High School,Software Engineer,8,43569
43,Bachelor's,Sales Representative,13,47430
47,Bachelor's,Sales Representative,18,57002
27,Master's,Sales Representative,5,54886
21,High School,Data Analyst,1,44582
57,High School,Software Engineer,23,60381
43,High School,Software Engineer,11,55230
60,Bachelor's,Data Analyst,27,75936
54,Bachelor's,Manager,19,93999
25,High School,Sales Representative,5,34427
54,PhD,Data Analyst,19,115449
22,High School,Data Analyst,2,40240
55,PhD,Manager,22,122302
32,Master's,Manager,3,110359
46,Bachelor's,Manager,12,95715
51,Bachelor's,Manager,17,88589
49,High School,Data Analyst,19,52098
21,PhD,Sales Representative,0,67439
54,PhD,Data Analyst,21,107254
24,Master's,Software Engineer,0,82783
30,Master's,Sales Representative,7,60414
44,PhD,Software Engineer,14,114177
55,Bachelor's,Manager,20,100571
58,Master's,Manager,24,106143
58,Master's,Manager,24,123920
54,High School,Software Engineer,18,56781
45,PhD,Data Analyst,18,90111
57,High School,Software Engineer,17,66549
42,Bachelor's,Sales Representative,16,49190
55,Bachelor's,Data Analyst,23,88518
37,PhD,Data Analyst,7,97226
32,PhD,Software Engineer,2,102415
45,Bachelor's,Software Engineer,10,69398
45,Bachelor's,Sales Representative,15,54729
43,PhD,Software Engineer,14,94940
43,PhD,Sales Representative,14,77344
39,PhD,Manager,10,109986
24,PhD,Data Analyst,2,107880
41,High School,Data Analyst,8,50105
27,Bachelor's,Manager,0,78443
30,Master's,Sales Representative,5,57311
21,Master's,Sales Representative,0,48418
34,Master's,Data Analyst,11,87518
37,High School,Data Analyst,6,47106
21,PhD,Data Analyst,0,80985
41,Bachelor's,Manager,11,73554
21,PhD,Data Analyst,2,92853
46,PhD,Manager,15,109701
50,High School,Software Engineer,21,68888
44,Master's,Software Engineer,17,90503
23,High School,Software Engineer,1,44348
47,Bachelor's,Software Engineer,17,87473
54,PhD,Software Engineer,21,111881
59,Master's,Software Engineer,24,96272
60,High School,Data Analyst,22,59581
45,High School,Sales Representative,9,35100
42,PhD,Manager,10,112863
23,Master's,Sales Representative,4,53269
54,High School,Software Engineer,18,61738
32,PhD,Sales Representative,10,63962
58,Bachelor's,Sales Representative,24,54006
54,Bachelor's,Data Analyst,18,86648
24,Master's,Sales Representative,0,59793
50,High School,Sales Representative,20,38484
45,PhD,Sales Representative,16,61097
59,Bachelor's,Manager,22,83243
48,PhD,Data Analyst,16,119953
39,PhD,Sales Representative,8,56237
50,Master's,Manager,16,94550
23,PhD,Manager,2,101839
42,PhD,Sales Representative,13,58987
37,Master's,Data Analyst,9,88860
35,PhD,Manager,5,121228
34,PhD,Data Analyst,9,77347
50,PhD,Software Engineer,18,135314
34,PhD,Manager,8,105348
49,Bachelor's,Data Analyst,19,74255
45,High School,Software Engineer,16,52516
44,Master's,Data Analyst,15,80750
57,Bachelor's,Manager,25,97200
34,PhD,Manager,9,107433
28,PhD,Manager,4,124877
36,Master's,Data Analyst,8,76674
35,High School,Manager,13,65639
37,Master's,Software Engineer,10,110927
26,PhD,Sales Representative,3,73789
43,High School,Manager,16,75539
36,Bachelor's,Software Engineer,12,79544
50,Bachelor's,Software Engineer,15,78848
23,High School,Sales Representative,0,33340
51,Bachelor's,Sales Representative,19,46531
33,Bachelor's,Software Engineer,5,89112
42,Bachelor's,Manager,16,91838
32,PhD,Manager,6,128618
25,High School,Data Analyst,3,43503
43,Master's,Manager,14,112518
54,PhD,Manager,18,129608
21,Master's,Sales Representative,0,51536
43,High School,Sales Representative,13,34434
50,Bachelor's,Data Analyst,19,70241
51,Bachelor's,Software Engineer,20,81443
23,Master's,Data Analyst,0,100778
23,High School,Sales Representative,0,41334
48,PhD,Data Analyst,16,88948
47,Master's,Manager,19,105556
44,High School,Software Engineer,10,55244
23,PhD,Sales Representative,5,77878
25,PhD,Sales Representative,0,65166
27,Master's,Sales Representative,3,63183
26,High School,Sales Representative,3,37765
23,Master's,Manager,1,103442
39,Master's,Software Engineer,9,99376
38,High School,Sales Representative,12,40847
21,High School,Manager,2,56621
50,PhD,Sales Representative,16,77643
43,Master's,Sales Representative,12,65176
58,Bachelor's,Sales Representative,23,60512
47,PhD,Software Engineer,14,109371
32,Bachelor's,Sales Representative,8,50788
24,PhD,Data Analyst,1,89896
50,PhD,Sales Representative,18,73173
53,High School,Sales Representative,17,40486
51,Master's,Sales Representative,19,61853
51,Master's,Sales Representative,17,61014
46,Bachelor's,Sales Representative,15,43569
57,Master's,Software Engineer,20,107880
51,Master's,Manager,18,123694
53,High School,Manager,20,61107
52,High School,Software Engineer,18,46016
23,Master's,Sales Representative,0,46644
44,Bachelor's,Data Analyst,16,83859
31,High School,Software Engineer,6,52538
53,Master's,Data Analyst,16,75923
28,Master's,Manager,0,94152
32,Master's,Manager,9,98604
41,High School,Manager,14,70938
55,High School,Manager,21,66745
44,PhD,Software Engineer,16,121348
26,Bachelor's,Manager,2,76753
51,High School,Software Engineer,20,58760
59,High School,Sales Representative,23,50612
21,Master's,Manager,0,106794
47,Master's,Data Analyst,17,84618
27,Master's,Data Analyst,1,96858
31,PhD,Software Engineer,4,131219
41,Master's,Software Engineer,12,93543
46,High School,Sales Representative,16,46570
27,Master's,Sales Representative,4,62395
43,Master's,Software Engineer,15,108989
21,PhD,Manager,0,112422
32,PhD,Manager,7,112438
35,PhD,Sales Representative,7,67163
46,High School,Software Engineer,14,56175
29,High School,Sales Representative,4,35819
40,Bachelor's,Sales Representative,11,39236
33,Master's,Software Engineer,4,91191
38,Bachelor's,Data Analyst,11,68696
56,Bachelor's,Data Analyst,21,58209
47,Master's,Data Analyst,16,79043
32,High School,Data Analyst,11,56288
35,PhD,Data Analyst,10,109482
42,Master's,Sales Representative,13,57336
53,PhD,Software Engineer,16,129853
25,Bachelor's,Data Analyst,2,72376
33,PhD,Manager,5,99349
29,Bachelor's,Software Engineer,4,76133
58,High School,Data Analyst,23,63542
54,PhD,Sales Representative,21,65892
43,PhD,Manager,15,128899
22,Bachelor's,Software Engineer,3,64044
40,Master's,Manager,13,103068
52,PhD,Manager,21,127738
46,High School,Sales Representative,16,43092
59,PhD,Manager,22,136836
29,PhD,Data Analyst,7,82611
60,Bachelor's,Manager,24,100775
39,PhD,Sales Representative,8,70847
56,Bachelor's,Software Engineer,22,103062
41,PhD,Software Engineer,13,119665
44,PhD,Software Engineer,14,96744
26,High School,Sales Representative,2,31953
32,Master's,Data Analyst,7,95308
35,Master's,Sales Representative,7,52461
46,Bachelor's,Software Engineer,14,76260
42,PhD,Sales Representative,11,65982
55,High School,Manager,22,81594
55,High School,Manager,21,64579
22,PhD,Manager,1,113190
22,PhD,Software Engineer,2,124441
38,Bachelor's,Data Analyst,8,64621
33,PhD,Manager,9,118567
32,High School,Software Engineer,7,50026
42,PhD,Data Analyst,11,97964
47,High School,Software Engineer,15,49386
52,Master's,Software Engineer,18,101505
42,PhD,Data Analyst,9,114245
34,Bachelor's,Software Engineer,5,96045
58,Master's,Manager,17,105640
36,Bachelor's,Manager,6,95650
24,PhD,Manager,1,128943
35,PhD,Data Analyst,10,87728
50,High School,Sales Representative,19,39649
40,Master's,Sales Representative,10,64531
41,Master's,Sales Representative,14,54269
32,Bachelor's,Sales Representative,8,45019
29,High School,Software Engineer,6,62231
27,High School,Manager,2,59380
57,PhD,Data Analyst,22,94621
22,PhD,Software Engineer,1,115875
56,Master's,Software Engineer,23,102480
41,High School,Data Analyst,10,51048
22,Master's,Sales Representative,1,55567
55,Bachelor's,Manager,25,106385
39,PhD,Software Engineer,8,93229
48,Master's,Manager,15,120882
41,Master's,Sales Representative,13,51959
49,Bachelor's,Sales Representative,14,46942
54,Bachelor's,Software Engineer,22,79237
25,PhD,Data Analyst,0,94002
32,Master's,Data Analyst,8,93424
36,Bachelor's,Software Engineer,9,86934
21,PhD,Data Analyst,3,90231
51,High School,Manager,18,73428
36,Bachelor's,Manager,9,90810
40,Master's,Sales Representative,13,56370
59,High School,Manager,21,80296
42,Master's,Data Analyst,8,97591
53,Bachelor's,Software Engineer,22,75319
42,Master's,Manager,14,104908
59,Bachelor's,Manager,21,80969
55,High School,Data Analyst,20,55805
47,PhD,Manager,11,128341
33,PhD,Sales Representative,5,55602
41,PhD,Software Engineer,10,113076
54,High School,Sales Representative,20,45484
60,High School,Software Engineer,24,65199
26,PhD,Data Analyst,6,108656
22,High School,Sales Representative,0,31023
23,Bachelor's,Software Engineer,0,87423
57,High School,Manager,20,66802
22,High School,Manager,1,71428
42,High School,Manager,11,62031
60,Bachelor's,Sales Representative,22,48353
21,Bachelor's,Software Engineer,2,79064
33,PhD,Software Engineer,9,91008
21,High School,Manager,0,56438
52,PhD,Manager,18,115842
27,Bachelor's,Manager,5,81589
26,High School,Data Analyst,5,42661
51,PhD,Software Engineer,17,114619
41,High School,Data Analyst,15,49968
28,Master's,Data Analyst,4,81134
60,High School,Sales Representative,23,40598
25,PhD,Data Analyst,1,93990
54,Master's,Manager,16,131053
40,High School,Sales Representative,11,33334
23,PhD,Manager,3,101717
49,Master's,Manager,20,98143
39,PhD,Sales Representative,11,59437
35,Bachelor's,Data Analyst,8,52266
58,Bachelor's,Sales Representative,21,60485
48,Bachelor's,Manager,17,86870
34,Bachelor's,Data Analyst,9,73065
53,High School,Sales Representative,19,36022
27,PhD,Manager,4,114739
35,High School,Software Engineer,7,46937
58,Master's,Manager,22,116457
40,PhD,Data Analyst,11,92278
50,Master's,Software Engineer,16,115193
36,PhD,Software Engineer,12,112362
60,High School,Software Engineer,28,59679
45,PhD,Manager,14,122763
45,Master's,Manager,13,103820
27,PhD,Data Analyst,3,105164
40,PhD,Manager,15,110088
41,Bachelor's,Sales Representative,15,54110
25,High School,Manager,4,53544
52,Bachelor's,Manager,19,87146
45,PhD,Data Analyst,15,111367
56,High School,Sales Representative,22,39499
37,PhD,Software Engineer,10,110560
39,Bachelor's,Sales Representative,10,47156
37,Bachelor's,Data Analyst,13,58723
47,Bachelor's,Software Engineer,16,69634
46,Master's,Manager,15,100933
31,High School,Software Engineer,5,53744
33,Bachelor's,Data Analyst,5,56950
44,PhD,Data Analyst,14,104462
29,Bachelor's,Software Engineer,7,85948
48,High School,Software Engineer,15,59057
55,High School,Manager,21,74529
23,Bachelor's,Software Engineer,4,75214
51,PhD,Sales Representative,20,72960
55,PhD,Data Analyst,21,90265
43,Bachelor's,Sales Representative,12,53574
22,Master's,Data Analyst,0,98454
22,Bachelor's,Data Analyst,0,74704
47,High School,Manager,14,74366
40,PhD,Software Engineer,16,133725
38,Bachelor's,Sales Representative,12,44419
49,PhD,Sales Representative,17,56121
44,Master's,Software Engineer,18,101499
48,PhD,Software Engineer,19,123795
45,PhD,Manager,10,125343
